,企業名,キャッチコピー,ステータス,初年度年収
62,株式会社夢真 | プライム市場上場グループ★研修充実★最短内定5日★未経験歓迎,年収UP・スキルUPも叶う【管理事務(リーダー候補)】★月給35万円 正社員,正社員,300万円～500万円
63,株式会社 植田板金店 | 【1２年連続増収】メディアも大注目★グッドデザイン賞も受賞！,【総合職（工場／現場／配送）】完全週休2日制・残業月平均20ｈ 正社員,正社員,350万円～450万円
64,株式会社 夢真 | 【プライム市場上場企業グループ】研修最大2ヶ月有／未経験歓迎,未経験から手に職を付けられる【在庫・資材管理】★土日祝休み★ 正社員,正社員,300万円～500万円
65,ホーチキ株式会社 | 《東証一部企業》防災機器メーカーのリーディングカンパニー,AIやDXなど幅広い技術を習得！【システムエンジニア】年休124日 正社員,正社員,400万円～500万円
66,株式会社トーガシ | イベント業界大手の安定基盤/スポーツ&エンタメ等新事業スタート,【総合職（営業／施工管理）】★完全週休2日 ★残業月平均20h 正社員,正社員,350万円～700万円
67,ホーチキ株式会社 | 【東証一部上場】◆防災機器メーカーのリーディングカンパニー,業界トップクラスのシェア！【消火設備の施工管理】★経験者募集 正社員,正社員,350万円～600万円
68,東建コーポレーション株式会社 | <WEB面接実施＊自宅近くの拠点を考慮>◆年休120日以上,賞与年5ヶ月分！【営業系総合職】全国募集/年齢不問/未経験歓迎 正社員,正社員,400万円～800万円
69,株式会社夢真 | 【プライム市場上場企業グループ】研修最大2ヶ月有／未経験歓迎,★生涯年収UPを叶えよう！【点検・保守】★月給35万円～★ 正社員,正社員,300万円～500万円
70,株式会社夢真 | ★スターティング募集★東証プライム市場上場企業のグループIN★,官公庁や商業施設などの【設備保守・保全】★夜勤なし・土日休み 正社員,正社員,350万円～500万円
71,株式会社夢真 | 【20代の男女ともに活躍中！】◆研修最大2ヶ月あり◆未経験歓迎,プライム市場上場企業グループ！【管理事務スタッフ】全国募集 正社員,正社員,300万円～500万円
72,株式会社grands | 【スターティングメンバ―としての募集】★年収1000万円以上可,チームで成果を追う【リノベーションプロデューサー】★固定給 正社員,正社員,300万円～800万円
73,ホーチキ株式会社 | 【東証一部上場】◆防災機器メーカーのリーディングカンパニー,【施工管理】完全週休2日(土日祝)★9連休取得OK！★未経験者歓迎 正社員,正社員,350万円～600万円
74,株式会社夢真 | ★プライム市場上場企業のグループ★賞与年2回★土日祝休み★,【アシスタントスタッフ(データ管理等)】★月給35万円★全国募集 正社員,正社員,350万円～500万円
75,株式会社ひなご | 新設部門スタートアップ募集／上場を視野・昨対比15倍の成長企業,【建築施工管理】☆週休2日制☆未経験でも応募OK・月給30万～可 正社員,正社員,540万円～1000万円
76,株式会社カインド リフォーム | 【大阪府緊急雇用対策に賛同】住宅や家族手当も◎駅チカ好立地！,未経験歓迎!!【営業職】★スターティングメンバ―の募集！ 正社員,正社員,
77,西日本旅客鉄道株式会社 | JR西日本｜東証プライム上場｜30名の大規模採用を実施,【鉄道施設技術者】※土木・建築・機械等の経験者を歓迎！ 正社員,正社員,
